The time spent in the parallel computing activating process is 0.001094s.
-----
No.1	 toolpath -2200.890749	[r = -2200.000000] is calculated within 0.061250s.
-----
initial linear search begins: 
No.	x	f(x)
21	-2175.024395	1.112222
22	-2175.579216	1.112221
23	-2176.134037	1.112220
24	-2176.688858	1.109091
25	-2177.243679	0.913188
26	-2177.798499	0.418711
27	-2178.353320	0.534089
28	-2178.908141	0.418710
29	-2179.462962	0.418709
30	-2180.017783	0.418238
31	-2180.572603	0.377860
32	-2181.127424	0.284800
33	-2181.682245	0.165771
34	-2182.237066	0.133677
35	-2182.791887	0.133677
36	-2183.346707	0.133677
37	-2183.901528	0.133677
38	-2184.456349	0.133677
39	-2185.011170	0.133677
40	-2185.565990	0.133677
41	-2186.120811	0.133677
42	-2186.675632	0.133677
43	-2187.230453	0.133677
44	-2187.785274	0.133677
45	-2188.340094	0.133677
46	-2188.894915	0.133677
47	-2189.449736	0.133677
48	-2190.004557	-0.001787
bisection interval found by 1-dim search: [-2190.004557,-2189.449736]
No.10	 toolpath -2190.894222	[r = -2190.002931] is calculated within 8.005200s.
-----
initial linear search begins: 
No.	x	f(x)
0	-2162.261892	3.657682
1	-2162.816713	3.321870
2	-2163.371533	2.638913
3	-2163.926354	2.446390
4	-2164.481175	2.343314
5	-2165.035996	1.972536
6	-2165.590817	1.972535
7	-2166.145637	1.972534
8	-2166.700458	1.972533
9	-2167.255279	1.972532
10	-2167.810100	1.972531
11	-2168.364921	1.972530
12	-2168.919741	1.972529
13	-2169.474562	1.964012
14	-2170.029383	1.854447
15	-2170.584204	1.276174
16	-2171.139025	1.112228
17	-2171.693845	1.112227
18	-2172.248666	1.112227
19	-2172.803487	1.112226
20	-2173.358308	1.112225
21	-2173.913128	1.112224
22	-2174.467949	1.112224
23	-2175.022770	1.112223
24	-2175.577591	1.109094
25	-2176.132412	0.913190
26	-2176.687232	0.418713
27	-2177.242053	0.534087
28	-2177.796874	0.418712
29	-2178.351695	0.418711
30	-2178.906516	0.418241
31	-2179.461336	0.378405
32	-2180.016157	0.284802
33	-2180.570978	0.165773
34	-2181.125799	0.133678
35	-2181.680619	0.133678
36	-2182.235440	0.133678
37	-2182.790261	0.133678
38	-2183.345082	0.133677
39	-2183.899903	0.133677
40	-2184.454723	0.133677
41	-2185.009544	0.133677
42	-2185.564365	0.133677
43	-2186.119186	0.133677
44	-2186.674007	0.133677
45	-2187.228827	0.133677
46	-2187.783648	0.133677
47	-2188.338469	0.133677
48	-2188.893290	-0.001786
bisection interval found by 1-dim search: [-2188.893290,-2188.338469]
No.11	 toolpath -2189.782955	[r = -2188.892748] is calculated within 7.050333s.
-----
initial linear search begins: 
No.	x	f(x)
0	-2161.151709	3.657688
1	-2161.706529	3.321876
2	-2162.261350	2.638918
3	-2162.816171	2.446395
4	-2163.370992	2.342139
5	-2163.925812	1.972541
6	-2164.480633	1.972540
7	-2165.035454	1.972539
8	-2165.590275	1.972538
9	-2166.145096	1.972536
10	-2166.699916	1.972535
11	-2167.254737	1.972534
12	-2167.809558	1.972533
13	-2168.364379	1.964016
14	-2168.919200	1.854451
15	-2169.474020	1.272947
16	-2170.028841	1.112231
17	-2170.583662	1.112230
18	-2171.138483	1.112229
19	-2171.693303	1.112229
20	-2172.248124	1.112228
21	-2172.802945	1.112227
22	-2173.357766	1.112227
23	-2173.912587	1.112226
24	-2174.467407	1.109097
25	-2175.022228	0.913193
26	-2175.577049	0.418715
27	-2176.131870	0.534085
28	-2176.686691	0.418714
29	-2177.241511	0.418714
30	-2177.796332	0.418243
31	-2178.351153	0.377864
32	-2178.905974	0.284804
33	-2179.460795	0.165775
34	-2180.015615	0.133678
35	-2180.570436	0.133678
36	-2181.125257	0.133678
37	-2181.680078	0.133678
38	-2182.234898	0.133678
39	-2182.789719	0.133678
40	-2183.344540	0.133678
41	-2183.899361	0.133678
42	-2184.454182	0.133677
43	-2185.009002	0.133677
44	-2185.563823	0.133677
45	-2186.118644	0.133677
46	-2186.673465	0.133677
47	-2187.228286	0.133677
48	-2187.783106	-0.001786
bisection interval found by 1-dim search: [-2187.783106,-2187.228286]
No.12	 toolpath -2188.672772	[r = -2187.781481] is calculated within 7.179679s.
-----
initial linear search begins: 
No.	x	f(x)
0	-2160.040441	3.657693
1	-2160.595262	3.321881
2	-2161.150083	2.638923
3	-2161.704904	2.446400
4	-2162.259725	2.343324
5	-2162.814545	1.972545
