//X Y Z Nx Ny Nz
-2.40169048 0.97167730 4.27310419 -0.478876 0.202659 0.854171
-4.14512539 -0.96940857 2.61915350 -0.819935 -0.195511 0.538035
-3.00321412 0.32677129 3.98301268 -0.616207 0.046747 0.786196
-3.83131266 -0.69955963 3.13436484 -0.782623 -0.142159 0.606046
-1.97295976 1.83216608 4.21084213 -0.375230 0.365888 0.851662
-1.74568868 1.88125825 4.28945875 -0.363898 0.392010 0.844930
-2.86065745 0.46723562 4.07071304 -0.578378 0.094222 0.810309
-3.57283759 -0.29228029 3.48201537 -0.710057 -0.061932 0.701415
-0.07596516 3.94771767 3.06415009 -0.029373 0.793061 0.608433
-2.34853268 1.41439652 4.17784452 -0.469482 0.277351 0.838250
-3.31745219 0.05158444 3.73733497 -0.662216 0.021001 0.749018
-4.02960634 -0.80067754 2.84734225 -0.817737 -0.150440 0.555584
-2.09826493 1.66455758 4.21877527 -0.427258 0.333355 0.840431
-3.96932960 -0.59475785 2.97829318 -0.785941 -0.125810 0.605367
-3.78900576 -0.40193182 3.23439097 -0.748472 -0.076729 0.658713
-3.64434695 -0.29824045 3.40838552 -0.744925 -0.058848 0.664548
-2.65660977 1.10194623 4.08644867 -0.528771 0.219172 0.819979
-0.00614046 4.12413883 2.82577705 -0.029097 0.827194 0.561162
-0.24941513 3.99912143 2.98604608 -0.035021 0.802692 0.595365
-2.34178352 1.58501458 4.12017155 -0.469352 0.327124 0.820182
-3.32146096 0.31651777 3.72028661 -0.661088 0.064813 0.747504
-3.32675052 0.20788564 3.72324038 -0.668552 0.044002 0.742362
-4.02031040 -0.68385935 2.89212871 -0.820985 -0.131181 0.555676
-1.93443418 2.37062907 3.95189667 -0.376423 0.462921 0.802502
-2.88889790 1.03129530 3.94525647 -0.568901 0.214301 0.793994
-0.56382871 3.82350087 3.17049432 -0.094875 0.780894 0.617417
-3.26544356 0.62869257 3.73143005 -0.662058 0.107640 0.741682
-3.41367841 0.34471262 3.63561797 -0.667044 0.086117 0.740025
-4.21987104 -0.37602875 2.65228057 -0.850616 -0.066081 0.521618
-2.02916932 2.18773770 4.01009130 -0.427921 0.427921 0.796095
-3.95898366 -0.23643337 3.04115701 -0.786264 -0.052607 0.615646
-0.76551181 3.81477189 3.13583422 -0.149183 0.760982 0.631389
-0.48854136 4.24705553 2.58798862 -0.092889 0.844573 0.527322
-1.33851552 3.42737627 3.38225079 -0.261831 0.693456 0.671240
-1.41796899 3.36062407 3.41862345 -0.290754 0.657007 0.695560
-2.44036269 2.07163525 3.83849001 -0.470620 0.418510 0.776767
-3.27653193 0.73802310 3.70057511 -0.661518 0.152891 0.734179
-4.04804993 -0.29563525 2.91668463 -0.818038 -0.049279 0.573049
-1.11848319 3.68313718 3.18790460 -0.213278 0.730127 0.649175
-2.05494261 2.45629716 3.83628559 -0.417854 0.499786 0.758691
-2.15861797 2.33709192 3.85350108 -0.429082 0.474764 0.768432
-0.67562300 3.94403362 2.99411821 -0.151492 0.793458 0.589469
-1.72846055 2.98841286 3.61517096 -0.364572 0.577103 0.730780
-1.51054478 3.19626117 3.53287005 -0.308006 0.653101 0.691803
-1.70835412 3.07746673 3.54898000 -0.319115 0.630131 0.707885
-3.31139326 0.88528699 3.63666964 -0.666913 0.172451 0.724905
-1.10626495 3.87196326 2.96007276 -0.208388 0.767177 0.606641
-2.10506701 2.74742961 3.60452342 -0.416776 0.541973 0.729769
-1.95902753 2.93301940 3.54088283 -0.375612 0.595403 0.710219
-2.68550873 2.12194443 3.64224005 -0.519328 0.427003 0.740248
-3.49297976 0.84001076 3.47394085 -0.705227 0.162979 0.689995
-4.05477715 0.05557674 2.92141461 -0.817867 0.017930 0.575128
-3.01678777 1.46453094 3.70708966 -0.623465 0.290096 0.726041
-2.96397185 1.89676619 3.55077314 -0.576414 0.367402 0.729906
-3.81882596 0.63621855 3.16303992 -0.748304 0.114098 0.653470
-3.66092587 0.62070179 3.34652424 -0.743983 0.136222 0.654166
-1.70035851 3.51008868 3.12524438 -0.322020 0.707150 0.629477
-2.68010235 2.20275450 3.59687209 -0.529212 0.446264 0.721653
-2.59609365 2.39177227 3.53737593 -0.520152 0.470298 0.712925
-3.51201200 0.95431203 3.42521119 -0.710394 0.182585 0.679708
-3.52128744 1.02036774 3.39594460 -0.704680 0.202886 0.679900
-3.39265895 1.34777081 3.41452599 -0.661887 0.275919 0.696975
-2.09305549 3.03517723 3.37333608 -0.428099 0.601337 0.674630
-2.91615129 2.05245972 3.50099325 -0.577559 0.408759 0.706641
-1.53287268 3.82614517 2.82479310 -0.308730 0.763026 0.567871
-2.57081985 2.49345422 3.48593497 -0.520487 0.510445 0.684499
-3.52908754 1.16557539 3.34102035 -0.704880 0.241268 0.667034
-2.47709870 2.83448386 3.28810716 -0.480515 0.564228 0.671381
-3.28750372 1.58732831 3.41258073 -0.662730 0.315972 0.678934
-4.17330599 0.30812591 2.73503661 -0.820660 0.066848 0.567493
-2.20708060 3.10482550 3.23615670 -0.428675 0.638842 0.638842
-1.96821749 3.44154668 3.04562092 -0.375612 0.710219 0.595403
-2.86590672 2.29352427 3.39131951 -0.578292 0.448302 0.681618
-3.75609899 0.95462877 3.15514994 -0.748906 0.189149 0.635109
-2.27156162 3.20183873 3.09369302 -0.467540 0.625063 0.625063
-3.41238737 1.57982183 3.29351139 -0.668291 0.333332 0.665039
-3.94304752 0.83900583 2.95395970 -0.784992 0.161217 0.598161
-2.00694609 3.83050251 2.50658488 -0.391712 0.768795 0.505487
-3.52264118 1.46733057 3.22701550 -0.709525 0.297647 0.638734
-3.48967123 1.60941803 3.19482374 -0.704815 0.319192 0.633524
-2.31734872 3.19668198 3.06437922 -0.478154 0.639216 0.602306
-4.26438713 0.55921149 2.54775262 -0.846295 0.123388 0.518228
-2.18922973 3.58894467 2.70367360 -0.416776 0.729769 0.541973
-2.88979936 2.69730306 3.05741191 -0.569905 0.546230 0.613874
