The time spent in the parallel computing activating process is 0.000209s.
-----
No.1	 toolpath -516.536235	[r = -600.000000] is calculated within 0.030055s.
-----
initial linear search begins: 
No.	x	f(x)
21	-540.103654	2.570280
22	-540.816918	2.456425
23	-541.530183	2.254277
24	-542.243447	2.237026
25	-542.956711	2.162731
26	-543.669975	2.158699
27	-544.383239	2.154667
28	-545.096503	2.150635
29	-545.809767	2.146601
30	-546.523031	2.142566
31	-547.236295	1.927572
32	-547.949559	1.849591
33	-548.662823	1.686962
34	-549.376087	1.683698
35	-550.089351	1.536349
36	-550.802615	1.258761
37	-551.515879	0.887578
38	-552.229144	0.751615
39	-552.942408	0.703529
40	-553.655672	0.562560
41	-554.368936	0.426674
42	-555.082200	0.312486
43	-555.795464	0.296398
44	-556.508728	0.037618
45	-557.221992	0.036726
46	-557.935256	-0.019286
bisection interval found by 1-dim search: [-557.935256,-557.221992]
No.12	 toolpath -474.322430	[r = -557.785499] is calculated within 11.119154s.
-----
initial linear search begins: 
No.	x	f(x)
0	-522.088774	6.462547
1	-522.802708	6.223448
2	-523.516643	5.973235
3	-524.230577	5.710359
4	-524.944512	5.419059
5	-525.658446	5.250878
6	-526.372381	5.168134
7	-527.086315	4.914090
8	-527.800250	4.785496
9	-528.514184	4.767313
10	-529.228119	4.759525
11	-529.942053	4.751736
12	-530.655988	4.722815
13	-531.369922	4.341943
14	-532.083857	4.039814
15	-532.797791	3.867642
16	-533.511726	3.652210
17	-534.225660	3.567127
18	-534.939595	3.481055
19	-535.653529	3.048090
20	-536.367464	2.798432
21	-537.081398	2.621927
22	-537.795333	2.507815
23	-538.509267	2.301769
24	-539.223202	2.282133
25	-539.937136	2.196826
26	-540.651071	2.192797
27	-541.365005	2.188766
28	-542.078940	2.184734
29	-542.792874	2.180701
30	-543.506809	2.176667
31	-544.220743	1.964606
32	-544.934678	1.882321
33	-545.648612	1.714532
34	-546.362547	1.711267
35	-547.076481	1.564275
36	-547.790416	1.286481
37	-548.504350	0.911256
38	-549.218285	0.771113
39	-549.932219	0.725774
40	-550.646154	0.579400
41	-551.360088	0.443266
42	-552.074023	0.324883
43	-552.787957	0.309486
44	-553.501892	0.045137
45	-554.215826	0.044245
46	-554.929761	-0.016110
bisection interval found by 1-dim search: [-554.929761,-554.215826]
No.13	 toolpath -471.327949	[r = -554.791017] is calculated within 11.221834s.
-----
initial linear search begins: 
No.	x	f(x)
0	-519.061075	6.551608
1	-519.775674	6.316931
2	-520.490273	6.058493
3	-521.204872	5.795579
4	-521.919470	5.503636
5	-522.634069	5.331618
6	-523.348668	5.245795
7	-524.063267	4.991479
8	-524.777866	4.858280
9	-525.492465	4.833175
10	-526.207064	4.825390
11	-526.921662	4.817603
12	-527.636261	4.792281
13	-528.350860	4.412229
14	-529.065459	4.105248
15	-529.780058	3.929645
16	-530.494657	3.715789
17	-531.209255	3.623311
18	-531.923854	3.540534
19	-532.638453	3.106780
20	-533.353052	2.851501
21	-534.067651	2.672953
22	-534.782250	2.558041
23	-535.496849	2.348897
24	-536.211447	2.327099
25	-536.926046	2.230788
26	-537.640645	2.226760
27	-538.355244	2.222731
28	-539.069843	2.218701
29	-539.784442	2.214670
30	-540.499040	2.210638
31	-541.213639	2.001597
32	-541.928238	1.914315
33	-542.642837	1.741999
34	-543.357436	1.738735
