The time spent in the parallel computing activating process is 0.000233s.
-----
No.1	 toolpath 535.098155	[r = 600.000000] is calculated within 0.026740s.
-----
initial linear search begins: 
No.	x	f(x)
No.10	 toolpath 491.662904	[r = 556.565464] is calculated within 11.395502s.
-----
initial linear search begins: 
No.	x	f(x)
0	519.890291	1.711815
1	520.623795	1.707030
2	521.357298	1.702245
3	522.090802	1.697458
4	522.824305	1.692671
5	523.557809	1.687882
6	524.291312	1.657056
7	525.024815	1.578924
8	525.758319	1.482354
9	526.491822	1.372981
10	527.225326	1.253426
11	527.958829	1.127825
12	528.692333	0.999881
13	529.425836	0.871257
14	530.159340	0.846030
15	530.892843	0.843234
16	531.626346	0.840437
17	532.359850	0.837639
18	533.093353	0.834841
19	533.826857	0.832042
20	534.560360	0.829242
21	535.293864	0.812939
22	536.027367	0.724546
23	536.760871	0.654053
24	537.494374	0.547176
25	538.227877	0.448452
26	538.961381	0.433430
27	539.694884	0.405037
28	540.428388	0.369192
29	541.161891	0.409330
30	541.895395	0.435157
31	542.628898	0.437884
32	543.362402	0.438963
33	544.095905	0.440042
34	544.829408	0.438657
35	545.562912	0.391157
36	546.296415	0.266997
37	547.029919	0.113311
38	547.763422	0.112342
39	548.496926	0.111373
40	549.230429	0.110404
41	549.963933	0.109435
42	550.697436	0.108466
43	551.430940	0.107497
44	552.164443	0.049289
45	552.897946	-0.101903
bisection interval found by 1-dim search: [552.164443,552.897946]
No.11	 toolpath 487.547690	[r = 552.448819] is calculated within 11.436209s.
-----
initial linear search begins: 
No.	x	f(x)
0	515.726923	1.766063
1	516.461361	1.761279
2	517.195798	1.756495
3	517.930236	1.751709
4	518.664674	1.746921
5	519.399112	1.705769
6	520.133550	1.637988
7	520.867988	1.556238
8	521.602426	1.458779
9	522.336864	1.349506
10	523.071302	1.232011
11	523.805740	1.107619
12	524.540178	0.980079
13	525.274616	0.880441
14	526.009054	0.877645
15	526.743491	0.874849
16	527.477929	0.872052
17	528.212367	0.869254
18	528.946805	0.866455
19	529.681243	0.863656
20	530.415681	0.860856
21	531.150119	0.810714
22	531.884557	0.709764
23	532.618995	0.599598
24	533.353433	0.492365
25	534.087871	0.419399
26	534.822309	0.420031
27	535.556747	0.384618
28	536.291184	0.375655
29	537.025622	0.402186
30	537.760060	0.425394
31	538.494498	0.425795
32	539.228936	0.426864
33	539.963374	0.427935
34	540.697812	0.429519
35	541.432250	0.387005
36	542.166688	0.270600
37	542.901126	0.124225
38	543.635564	0.123254
39	544.370002	0.122282
40	545.104440	0.121311
41	545.838877	0.120339
42	546.573315	0.119368
43	547.307753	0.118396
44	548.042191	0.054852
45	548.776629	-0.098078
bisection interval found by 1-dim search: [548.042191,548.776629]
No.12	 toolpath 483.445884	[r = 548.347012] is calculated within 11.431038s.
-----
initial linear search begins: 
No.	x	f(x)
0	511.578963	1.820045
1	512.314324	1.815262
2	513.049685	1.810477
3	513.785046	1.789457
4	514.520407	1.737458
5	515.255768	1.677089
6	515.991129	1.607881
7	516.726490	1.527130
8	517.461851	1.431296
9	518.197212	1.324229
10	518.932573	1.208115
11	519.667934	1.085247
12	520.403295	0.959861
13	521.138656	0.911908
14	521.874017	0.909112
15	522.609378	0.906315
16	523.344739	0.903518
17	524.080100	0.900719
18	524.815461	0.897920
19	525.550822	0.895122
20	526.286183	0.885346
21	527.021544	0.800232
22	527.756905	0.691339
23	528.492266	0.578249
24	529.227627	0.470020
25	529.962988	0.407514
26	530.698348	0.408569
27	531.433709	0.384099
28	532.169070	0.370056
29	532.904431	0.403700
30	533.639792	0.412799
31	534.375153	0.413859
32	535.110514	0.414920
33	535.845875	0.415982
34	536.581236	0.412810
35	537.316597	0.383255
36	538.051958	0.273255
37	538.787319	0.135115
38	539.522680	0.134141
39	540.258041	0.133167
40	540.993402	0.132193
41	541.728763	0.131219
42	542.464124	0.130246
43	543.199485	0.128960
44	543.934846	0.059560
45	544.670207	-0.095450
bisection interval found by 1-dim search: [543.934846,544.670207]
No.13	 toolpath 479.359030	[r = 544.260157] is calculated within 11.404649s.
-----
initial linear search begins: 
No.	x	f(x)
0	507.446524	1.873750
1	508.182796	1.863722
2	508.919069	1.813649
3	509.655342	1.758517
4	510.391614	1.701002
5	511.127887	1.640708
6	511.864160	1.572939
7	512.600432	1.494635
8	513.336705	1.402916
9	514.072978	1.298184
10	514.809250	1.183606
11	515.545523	1.063170
12	516.281796	0.946016
13	517.018068	0.943220
14	517.754341	0.940423
15	518.490614	0.937626
16	519.226886	0.934828
17	519.963159	0.932031
18	520.699432	0.929232
19	521.435704	0.926433
20	522.171977	0.885124
21	522.908250	0.784541
22	523.644522	0.670962
23	524.380795	0.555624
24	525.117068	0.447145
25	525.853340	0.395778
26	526.589613	0.396825
27	527.325886	0.382298
28	528.062158	0.365271
29	528.798431	0.396257
30	529.534704	0.401023
31	530.270976	0.402075
32	531.007249	0.403128
33	531.743522	0.404182
34	532.479794	0.403272
35	533.216067	0.354921
36	533.952340	0.224181
37	534.688612	0.145440
38	535.424885	0.144395
39	536.161158	0.143350
40	536.897430	0.143050
41	537.633703	0.142073
42	538.369976	0.141097
43	539.106248	0.138957
44	539.842521	0.064953
45	540.578794	-0.092163
bisection interval found by 1-dim search: [539.842521,540.578794]
No.14	 toolpath 475.281490	[r = 540.184054] is calculated within 12.037818s.
-----
initial linear search begins: 
No.	x	f(x)
0	503.325351	1.903133
1	504.062525	1.837878
2	504.799699	1.775035
3	505.536873	1.716137
4	506.274047	1.659798
5	507.011221	1.601300
6	507.748395	1.535708
7	508.485569	1.459401
8	509.222743	1.370702
9	509.959917	1.269235
10	510.697091	1.157570
11	511.434265	1.039726
12	512.171439	0.977211
13	512.908613	0.974415
14	513.645788	0.971618
15	514.382962	0.968821
16	515.120136	0.966024
17	515.857310	0.963226
18	516.594484	0.960427
19	517.331658	0.953427
20	518.068832	0.874243
21	518.806006	0.765659
22	519.543180	0.649498
23	520.280354	0.532952
24	521.017528	0.423988
25	521.754702	0.384174
26	522.491876	0.385213
27	523.229050	0.379477
28	523.966224	0.361000
29	524.703398	0.387479
30	525.440572	0.389380
31	526.177747	0.390424
32	526.914921	0.391469
33	527.652095	0.392515
34	528.389269	0.393515
35	529.126443	0.350040
36	529.863617	0.227582
37	530.600791	0.157051
38	531.337965	0.156004
39	532.075139	0.154957
40	532.812313	0.153909
41	533.549487	0.152862
42	534.286661	0.151814
43	535.023835	0.133820
44	535.761009	0.025674
45	536.498183	-0.153158
bisection interval found by 1-dim search: [535.761009,536.498183]
No.15	 toolpath 471.217639	[r = 535.886991] is calculated within 11.410742s.
-----
initial linear search begins: 
No.	x	f(x)
0	498.981201	1.902092
1	499.719317	1.822916
2	500.457433	1.752939
3	501.195548	1.691327
4	501.933664	1.634031
5	502.671780	1.577298
6	503.409896	1.518252
7	504.148012	1.448570
8	504.886127	1.368295
9	505.624243	1.273951
10	506.362359	1.169215
11	507.100475	1.055023
12	507.838591	1.010049
13	508.576706	1.007253
14	509.314822	1.004456
15	510.052938	1.001659
16	510.791054	0.998862
17	511.529170	0.996064
18	512.267285	0.993265
19	513.005401	0.978378
20	513.743517	0.892166
21	514.481633	0.782215
22	515.219749	0.664524
23	515.957865	0.546894
24	516.695980	0.436145
25	517.434096	0.373897
26	518.172212	0.374860
27	518.910328	0.375824
28	519.648444	0.351550
29	520.386559	0.375822
30	521.124675	0.378721
31	521.862791	0.379688
32	522.600907	0.380657
33	523.339023	0.381626
34	524.077138	0.382596
35	524.815254	0.367351
36	525.553370	0.277449
37	526.291486	0.169304
38	527.029602	0.168254
39	527.767717	0.167204
40	528.505833	0.166154
41	529.243949	0.165104
42	529.982065	0.164054
43	530.720181	0.158283
44	531.458296	0.073580
45	532.196412	-0.086797
bisection interval found by 1-dim search: [531.458296,532.196412]
No.16	 toolpath 467.163047	[r = 531.832400] is calculated within 11.420165s.
-----
initial linear search begins: 
No.	x	f(x)
0	494.882579	1.867603
1	495.621575	1.780874
2	496.360572	1.708425
3	497.099568	1.644301
4	497.838565	1.587943
5	498.577561	1.532720
6	499.316557	1.476077
7	500.055554	1.410253
8	500.794550	1.333589
9	501.533547	1.243004
10	502.272543	1.140969
11	503.011539	1.043790
12	503.750536	1.040994
13	504.489532	1.038198
14	505.228529	1.035402
15	505.967525	1.032605
16	506.706522	1.029807
17	507.445518	1.027009
18	508.184514	1.024209
19	508.923511	0.972959
20	509.662507	0.874047
21	510.401504	0.760623
22	511.140500	0.641432
23	511.879497	0.523441
24	512.618493	0.411783
25	513.357489	0.363310
26	514.096486	0.364266
27	514.835482	0.365223
28	515.574479	0.354114
29	516.313475	0.367131
30	517.052472	0.368098
31	517.791468	0.369058
32	518.530464	0.370019
33	519.269461	0.370981
34	520.008457	0.371944
35	520.747454	0.361152
36	521.486450	0.278851
37	522.225446	0.180878
38	522.964443	0.179826
39	523.703439	0.178774
40	524.442436	0.177721
41	525.181432	0.176669
42	525.920429	0.175616
43	526.659425	0.166972
44	527.398421	0.077750
45	528.137418	-0.083582
bisection interval found by 1-dim search: [527.398421,528.137418]
No.17	 toolpath 463.123824	[r = 527.791735] is calculated within 11.408573s.
-----
initial linear search begins: 
No.	x	f(x)
0	490.798418	1.828645
1	491.538285	1.737169
2	492.278151	1.661085
3	493.018017	1.596533
4	493.757884	1.540367
5	494.497750	1.487110
6	495.237616	1.431866
7	495.977483	1.370381
8	496.717349	1.298837
9	497.457215	1.211949
10	498.197082	1.113779
11	498.936948	1.074585
12	499.676814	1.071790
13	500.416681	1.068994
14	501.156547	1.066197
15	501.896413	1.063400
16	502.636280	1.060602
17	503.376146	1.057803
18	504.116012	1.040634
19	504.855879	0.958481
20	505.595745	0.852925
21	506.335611	0.737072
22	507.075478	0.617888
23	507.815344	0.499912
24	508.555210	0.388635
25	509.295077	0.352853
26	510.034943	0.353802
27	510.774809	0.354751
28	511.514676	0.354506
29	512.254542	0.356653
30	512.994408	0.357605
31	513.734275	0.358559
32	514.474141	0.359512
33	515.214007	0.360467
34	515.953874	0.361423
35	516.693740	0.353426
36	517.433606	0.278996
37	518.173473	0.185405
38	518.913339	0.191369
39	519.653205	0.190314
40	520.393072	0.189260
41	521.132938	0.188204
42	521.872804	0.187150
43	522.612671	0.174966
44	523.352537	0.081668
45	524.092403	-0.080360
bisection interval found by 1-dim search: [523.352537,524.092403]
No.18	 toolpath 459.092854	[r = 523.762209] is calculated within 11.358516s.
-----
initial linear search begins: 
No.	x	f(x)
0	486.725897	1.786623
1	487.466624	1.691204
2	488.207350	1.613109
3	488.948076	1.547623
4	489.688802	1.492173
5	490.429529	1.440615
6	491.170255	1.388636
7	491.910981	1.330124
8	492.651707	1.261034
9	493.392434	1.179606
10	494.133160	1.108063
11	494.873886	1.105269
12	495.614612	1.102473
13	496.355338	1.099677
14	497.096065	1.096881
15	497.836791	1.094083
16	498.577517	1.091285
17	499.318243	1.088487
18	500.058970	1.030993
19	500.799696	0.937021
20	501.540422	0.828853
21	502.281148	0.712372
22	503.021875	0.593029
23	503.762601	0.476394
24	504.503327	0.365537
25	505.244053	0.342508
26	505.984779	0.343450
27	506.725506	0.344393
28	507.466232	0.345337
29	508.206958	0.346281
30	508.947684	0.347227
31	509.688411	0.348173
32	510.429137	0.349120
33	511.169863	0.350068
34	511.910589	0.351016
35	512.651316	0.346143
36	513.392042	0.278719
37	514.132768	0.184238
38	514.873494	0.202898
39	515.614221	0.201841
40	516.354947	0.200783
41	517.095673	0.199726
42	517.836399	0.198669
43	518.577125	0.182088
44	519.317852	0.085373
45	520.058578	-0.077988
bisection interval found by 1-dim search: [519.317852,520.058578]
No.19	 toolpath 455.070218	[r = 519.739574] is calculated within 11.471826s.
-----
initial linear search begins: 
No.	x	f(x)
0	482.660719	1.743989
1	483.402296	1.645021
2	484.143873	1.563565
3	484.885450	1.498004
4	485.627027	1.443035
5	486.368604	1.392660
6	487.110181	1.342363
7	487.851758	1.287421
8	488.593335	1.224561
9	489.334912	1.146188
10	490.076490	1.138652
11	490.818067	1.135857
12	491.559644	1.133062
13	492.301221	1.130266
14	493.042798	1.127469
15	493.784375	1.124672
16	494.525952	1.121874
17	495.267529	1.091156
18	496.009106	1.011188
19	496.750684	0.913257
20	497.492261	0.803751
21	498.233838	0.686528
22	498.975415	0.567930
23	499.716992	0.451333
24	500.458569	0.342890
25	501.200146	0.332268
26	501.941723	0.333203
27	502.683300	0.334140
28	503.424877	0.335077
29	504.166455	0.336015
30	504.908032	0.336954
31	505.649609	0.337893
32	506.391186	0.338834
33	507.132763	0.339775
34	507.874340	0.340717
35	508.615917	0.338764
36	509.357494	0.278743
37	510.099071	0.181685
38	510.840648	0.213128
39	511.582226	0.213359
40	512.323803	0.212299
41	513.065380	0.211239
42	513.806957	0.210179
43	514.548534	0.188533
44	515.290111	0.089283
45	516.031688	-0.075767
bisection interval found by 1-dim search: [515.290111,516.031688]
No.20	 toolpath 451.060342	[r = 515.728250] is calculated within 11.638432s.
-----
initial linear search begins: 
No.	x	f(x)
0	478.607345	1.699191
1	479.349763	1.598488
2	480.092182	1.516053
3	480.834600	1.448656
4	481.577018	1.393689
5	482.319436	1.345070
6	483.061854	1.296946
7	483.804272	1.246264
8	484.546690	1.185160
9	485.289108	1.171907
10	486.031526	1.169113
11	486.773944	1.166317
12	487.516362	1.163522
13	488.258781	1.160726
14	489.001199	1.157929
15	489.743617	1.155132
16	490.486035	1.138105
17	491.228453	1.072412
18	491.970871	0.986592
19	492.713289	0.886583
20	493.455707	0.776236
21	494.198125	0.661038
22	494.940543	0.542572
23	495.682961	0.427220
24	496.425380	0.321212
25	497.167798	0.322140
26	497.910216	0.323070
27	498.652634	0.324000
28	499.395052	0.324930
29	500.137470	0.325862
30	500.879888	0.326794
31	501.622306	0.327727
32	502.364724	0.328661
33	503.107142	0.329596
34	503.849560	0.330531
35	504.591979	0.329961
36	505.334397	0.278878
37	506.076815	0.178709
38	506.819233	0.216523
39	507.561651	0.224856
40	508.304069	0.223794
41	509.046487	0.222731
42	509.788905	0.221669
43	510.531323	0.194515
44	511.273741	0.092940
45	512.016159	-0.072742
bisection interval found by 1-dim search: [511.273741,512.016159]
No.21	 toolpath 447.053170	[r = 511.722527] is calculated within 11.470433s.
-----
initial linear search begins: 
No.	x	f(x)
0	474.560004	1.653668
1	475.303255	1.551416
2	476.046505	1.466299
3	476.789756	1.398522
4	477.533006	1.343451
5	478.276256	1.297038
6	479.019507	1.251069
7	479.762757	1.207886
8	480.506008	1.205093
9	481.249258	1.202299
10	481.992509	1.199505
11	482.735759	1.196709
12	483.479010	1.193914
13	484.222260	1.191118
14	484.965511	1.188322
15	485.708761	1.171498
16	486.452012	1.117616
17	487.195262	1.045388
18	487.938512	0.957605
19	488.681763	0.858500
20	489.425013	0.747629
21	490.168264	0.632646
22	490.911514	0.516261
23	491.654765	0.403804
24	492.398015	0.311181
25	493.141266	0.312103
26	493.884516	0.313026
27	494.627767	0.313950
28	495.371017	0.314874
29	496.114268	0.315800
30	496.857518	0.316726
31	497.600769	0.317653
32	498.344019	0.318580
33	499.087269	0.319509
34	499.830520	0.320438
35	500.573770	0.320982
36	501.317021	0.276073
37	502.060271	0.175782
38	502.803522	0.216700
39	503.546772	0.236356
40	504.290023	0.235291
41	505.033273	0.234226
42	505.776524	0.233161
43	506.519774	0.198771
44	507.263025	0.095091
45	508.006275	-0.070448
bisection interval found by 1-dim search: [507.263025,508.006275]
No.22	 toolpath 443.051665	[r = 507.721024] is calculated within 11.397551s.
-----
initial linear search begins: 
No.	x	f(x)
0	470.517296	1.609020
1	471.261370	1.504994
2	472.005445	1.417772
3	472.749519	1.348653
4	473.493594	1.293603
5	474.237668	1.247552
6	474.981743	1.240998
7	475.725818	1.238205
8	476.469892	1.235412
9	477.213967	1.232618
10	477.958041	1.229823
11	478.702116	1.227029
12	479.446190	1.224233
13	480.190265	1.221395
14	480.934339	1.190019
15	481.678414	1.143738
16	482.422489	1.086645
17	483.166563	1.013533
18	483.910638	0.926811
19	484.654712	0.827262
20	485.398787	0.718657
21	486.142861	0.604916
22	486.886936	0.490240
23	487.631010	0.379691
24	488.375085	0.301239
25	489.119160	0.302156
26	489.863234	0.303073
27	490.607309	0.303990
28	491.351383	0.304909
29	492.095458	0.305828
30	492.839532	0.306748
31	493.583607	0.307669
32	494.327682	0.308590
33	495.071756	0.309512
34	495.815831	0.310436
