The time spent in the parallel computing activating process is 0.000197s.
-----
No.1	 toolpath 535.073516	[r = 600.000000] is calculated within 0.025376s.
-----
initial linear search begins: 
No.	x	f(x)0	568.344755	1.379614
42	571.486937	0.267744
43	572.125032	0.240203
44	572.763127	0.129543
45	573.401222	-0.037267
No.9	 toolpath 508.346369	[r = 573.272853] is calculated within 11.235204s.
-----
initial linear search begins: 
No.	x	f(x)0	541.333701	1.728778
1	541.972484	1.724583
2	542.611267	1.712729
3	543.250050	1.637186
4	543.888833	1.539771
5	544.527616	1.431282
6	545.166400	1.319275
7	545.805183	1.204720
8	546.443966	1.133355
9	547.082749	1.021947
10	547.721532	0.956959
11	548.360315	0.954572
12	548.999098	0.952184
13	549.637881	0.949795
14	550.276664	0.947406
15	550.915447	0.945017
16	551.554230	0.942627
17	552.193013	0.940236
18	552.831796	0.937845
19	553.470579	0.903050
20	554.109362	0.824996
21	554.748145	0.742955
22	555.386928	0.667164
23	556.025711	0.646598
24	556.664494	0.580186
25	557.303277	0.596526
26	557.942060	0.630999
27	558.580843	0.659307
28	559.219626	0.672127
29	559.858409	0.673095
30	560.497192	0.674064
31	561.135975	0.676047
32	561.774758	0.653524
33	562.413541	0.584723
34	563.052325	0.457422
35	563.691108	0.282394
36	564.329891	0.281552
37	564.968674	0.280710
38	565.607457	0.279869
39	566.246240	0.279027
40	566.885023	0.278185
41	567.523806	0.277343
42	568.162589	0.276502
43	568.801372	0.245266
44	569.440155	0.133605
45	570.078938	-0.035473
No.10	 toolpath 505.029725	[r = 569.956210] is calculated within 10.678897s.
-----
initial linear search begins: 
No.	x	f(x)0	537.982900	1.772747
1	538.622366	1.768553
2	539.261833	1.716789
3	539.901299	1.628145
4	540.540765	1.526603
5	541.180231	1.417506
6	541.819697	1.305292
7	542.459164	1.191216
8	543.098630	1.077256
9	543.738096	0.982305
10	544.377562	0.979858
11	545.017028	0.977411
12	545.656494	0.974963
13	546.295961	0.974776
14	546.935427	0.972386
15	547.574893	0.969997
16	548.214359	0.967607
17	548.853825	0.965216
18	549.493292	0.960327
19	550.132758	0.896775
20	550.772224	0.812698
21	551.411690	0.727590
22	552.051156	0.656330
23	552.690623	0.643817
24	553.330089	0.583859
25	553.969555	0.589223
26	554.609021	0.625015
27	555.248487	0.651805
28	555.887954	0.662078
29	556.527420	0.663039
30	557.166886	0.664000
31	557.806352	0.664963
32	558.445818	0.648304
33	559.085284	0.583881
34	559.724751	0.460791
35	560.364217	0.291166
36	561.003683	0.290322
37	561.643149	0.289479
38	562.282615	0.288635
39	562.922082	0.287792
40	563.561548	0.286948
41	564.201014	0.286105
42	564.840480	0.285262
43	565.479946	0.250255
44	566.119413	0.136256
45	566.758879	-0.033416
No.11	 toolpath 501.717174	[r = 566.643658] is calculated within 10.635256s.
-----
initial linear search begins: 
No.	x	f(x)0	534.636467	1.816610
1	535.276611	1.786235
2	535.916755	1.707692
3	536.556898	1.614396
4	537.197042	1.511882
5	537.837186	1.403103
6	538.477330	1.290711
7	539.117474	1.176440
8	539.757618	1.063290
9	540.397761	1.007850
10	541.037905	1.005403
11	541.678049	1.002956
12	542.318193	1.000508
13	542.958337	0.998060
14	543.598480	0.995611
15	544.238624	0.993161
