The time spent in the parallel computing activating process is 0.000249s.
-----
No.1	 toolpath -517.894901	[r = -600.000000] is calculated within 0.030134s.
-----
initial linear search begins: 
No.	x	f(x)
8	-382.809831	3.671373
9	-383.720273	3.390625
10	-384.630715	3.117767
11	-385.541157	2.848331
12	-386.451598	2.580664
13	-387.362040	2.313169
14	-388.272482	2.044694
15	-389.182924	1.776933
16	-390.093366	1.515467
17	-391.003808	1.266499
18	-391.914249	1.038264
19	-392.824691	0.843359
20	-393.735133	0.700640
21	-394.645575	0.617722
22	-395.556017	0.574381
23	-396.466458	0.539104
24	-397.376900	0.487114
25	-398.287342	0.408224
26	-399.197784	0.354289
27	-400.108226	0.247076
28	-401.018668	0.128750
29	-401.929109	0.001805
30	-402.839551	-0.132541
bisection interval found by 1-dim search: [-402.839551,-401.929109]
No.11	 toolpath -346.655680	[r = -401.938889] is calculated within 13.099163s.
-----
initial linear search begins: 
No.	x	f(x)
0	-356.231042	2.702125
1	-357.145199	2.412535
2	-358.059356	6.017984
3	-358.973513	5.624786
4	-359.887670	5.257477
5	-360.801827	4.916014
6	-361.715984	4.595958
7	-362.630141	4.290599
8	-363.544298	3.993781
9	-364.458455	3.704532
10	-365.372612	3.419898
11	-366.286769	3.258770
12	-367.200926	2.977344
13	-368.115083	2.695161
14	-369.029240	2.411853
15	-369.943397	2.131776
16	-370.857553	1.859855
17	-371.771710	1.603483
18	-372.685867	1.371761
19	-373.600024	1.181340
20	-374.514181	1.049285
21	-375.428338	0.972283
22	-376.342495	0.922539
23	-377.256652	0.869422
24	-378.170809	0.793478
25	-379.084966	0.691908
26	-379.999123	0.573644
27	-380.913280	0.442437
28	-381.827437	0.303105
29	-382.741594	0.219964
30	-383.655751	0.070411
31	-384.569908	-0.085156
bisection interval found by 1-dim search: [-384.569908,-383.655751]
No.12	 toolpath -329.187900	[r = -384.070871] is calculated within 13.287442s.
-----
initial linear search begins: 
No.	x	f(x)
0	-338.197775	3.184032
1	-339.115237	2.879978
2	-340.032699	2.579675
3	-340.950161	2.290138
4	-341.867623	2.018342
5	-342.785085	1.775023
6	-343.702547	1.579223
7	-344.620008	1.443725
8	-345.537470	1.357113
9	-346.454932	1.288986
10	-347.372394	1.210536
11	-348.289856	1.107053
12	-349.207318	0.979466
13	-350.124780	0.837062
14	-351.042242	0.682821
15	-351.959704	0.520489
16	-352.877166	0.352110
17	-353.794628	0.176564
18	-354.712089	0.087936
19	-355.629551	-0.090549
bisection interval found by 1-dim search: [-355.629551,-354.712089]
No.13	 toolpath -312.430403	[r = -355.162757] is calculated within 12.160186s.
-----
initial linear search begins: 
No.	x	f(x)
0	-309.039356	3.881850
1	-309.961825	3.559521
2	-310.884293	3.245762
3	-311.806761	2.949100
4	-312.729229	2.682155
5	-313.651697	2.460276
6	-314.574165	2.299862
7	-315.496633	2.190136
8	-316.419101	2.101464
9	-317.341569	2.056078
10	-318.264037	1.947749
11	-319.186505	1.812766
12	-320.108973	1.657425
13	-321.031441	1.489413
14	-321.953909	1.310664
15	-322.876377	1.124553
16	-323.798845	0.932252
17	-324.721313	0.735026
18	-325.643781	0.535831
19	-326.566249	0.340855
20	-327.488717	0.160452
21	-328.411185	0.006317
22	-329.333653	-0.112987
bisection interval found by 1-dim search: [-329.333653,-328.411185]
No.14	 toolpath -286.644328	[r = -328.453524] is calculated within 12.565772s.
-----
initial linear search begins: 
No.	x	f(x)
0	-282.117330	4.484298
1	-283.044054	4.149080
2	-283.970777	3.829883
3	-284.897501	3.539239
4	-285.824225	3.292086
5	-286.750949	3.107099
6	-287.677673	2.975713
7	-288.604397	2.867817
8	-289.531121	2.753035
9	-290.457845	2.688229
10	-291.384569	2.536246
11	-292.311293	2.363324
12	-293.238016	2.176030
13	-294.164740	1.979310
14	-295.091464	1.774877
15	-296.018188	1.562800
16	-296.944912	1.346512
17	-297.871636	1.127141
18	-298.798360	0.912766
19	-299.725084	0.712784
20	-300.651808	0.537778
21	-301.578531	0.398898
22	-302.505255	0.343842
23	-303.431979	0.251510
24	-304.358703	0.171469
25	-305.285427	0.090586
26	-306.212151	-0.002000
bisection interval found by 1-dim search: [-306.212151,-305.285427]
No.15	 toolpath -264.851168	[r = -306.193146] is calculated within 13.016016s.
-----
initial linear search begins: 
No.	x	f(x)
0	-259.692973	3.482679
1	-260.622977	3.329175
2	-261.552980	3.148679
3	-262.482984	2.950436
4	-263.412987	2.738924
5	-264.342991	2.519370
6	-265.272994	2.290808
7	-266.202997	2.056999
8	-267.133001	1.921428
9	-268.063004	1.681647
10	-268.993008	1.445460
11	-269.923011	1.223306
12	-270.853015	1.025709
13	-271.783018	0.863557
14	-272.713022	0.736682
15	-273.643025	0.631211
16	-274.573028	0.532126
17	-275.503032	0.427318
18	-276.433035	0.306296
19	-277.363039	0.227263
20	-278.293042	0.071486
21	-279.223046	0.718389
22	-280.153049	0.667381
23	-281.083053	0.571339
24	-282.013056	0.475119
25	-282.943060	0.366961
26	-283.873063	0.238471
27	-284.803066	0.087444
28	-285.733070	-0.077072
bisection interval found by 1-dim search: [-285.733070,-284.803066]
No.16	 toolpath -244.901251	[r = -285.303488] is calculated within 13.037846s.
-----
initial linear search begins: 
No.	x	f(x)
0	-238.660370	4.056718
1	-239.593232	3.866671
2	-240.526095	3.749952
3	-241.458957	3.531762
4	-242.391820	3.302353
5	-243.324682	3.063969
6	-244.257544	2.817798
7	-245.190407	2.567231
8	-246.123269	2.311649
9	-247.056131	2.059607
10	-247.988994	1.817602
11	-248.921856	1.599436
12	-249.854718	1.415025
13	-250.787581	1.267694
14	-251.720443	1.145266
15	-252.653306	1.031189
16	-253.586168	0.913349
17	-254.519030	0.840685
18	-255.451893	0.696450
19	-256.384755	0.529150
20	-257.317617	0.347595
21	-258.250480	0.158299
22	-259.183342	-0.029425
bisection interval found by 1-dim search: [-259.183342,-258.250480]
No.17	 toolpath -225.964944	[r = -259.033027] is calculated within 12.513463s.
-----
initial linear search begins: 
No.	x	f(x)
0	-212.225021	4.870762
1	-213.161181	4.655758
2	-214.097341	4.422057
3	-215.033501	4.175652
4	-215.969662	3.919460
5	-216.905822	3.656182
6	-217.841982	3.387716
7	-218.778142	3.113639
8	-219.714302	2.839791
9	-220.650462	2.575888
10	-221.586622	2.333042
11	-222.522782	2.122028
12	-223.458943	1.949511
13	-224.395103	1.865846
14	-225.331263	1.729758
15	-226.267423	1.598099
16	-227.203583	1.458024
17	-228.139743	1.299661
18	-229.075903	1.118117
19	-230.012063	0.919320
20	-230.948224	0.711748
21	-231.884384	0.504141
22	-232.820544	0.303449
23	-233.756704	0.119568
24	-234.692864	-0.040940
bisection interval found by 1-dim search: [-234.692864,-233.756704]
No.18	 toolpath -202.181275	[r = -234.437797] is calculated within 12.731967s.
-----
initial linear search begins: 
No.	x	f(x)
0	-187.490297	3.281133
1	-188.429247	3.016514
2	-189.368197	2.785153
3	-190.307147	2.592897
4	-191.246097	2.427344
5	-192.185047	2.272257
6	-193.123997	2.114631
7	-194.062947	1.943751
8	-195.001897	1.838597
9	-195.940847	1.631981
10	-196.879797	1.408847
11	-197.818747	1.178855
12	-198.757697	0.948797
13	-199.696647	0.726751
14	-200.635597	2.206559
15	-201.574547	2.051518
16	-202.513497	1.879725
17	-203.452447	1.684452
18	-204.391397	1.470632
19	-205.330347	1.246145
20	-206.269297	1.021019
21	-207.208247	0.801049
22	-208.147197	0.683431
23	-209.086147	0.490839
24	-210.025097	0.324777
25	-210.964047	0.184609
26	-211.902997	0.072425
27	-212.841947	-0.013347
bisection interval found by 1-dim search: [-212.841947,-211.902997]
No.19	 toolpath -180.828168	[r = -212.675980] is calculated within 13.152979s.
-----
initial linear search begins: 
No.	x	f(x)
0	-165.616950	3.901424
1	-166.558131	3.631281
2	-167.499311	3.398880
3	-168.440492	3.203114
4	-169.381672	3.028062
5	-170.322853	2.858327
6	-171.264034	2.681719
7	-172.205214	2.488280
8	-173.146395	2.269426
9	-174.087575	2.033982
10	-175.028756	1.787662
11	-175.969937	1.541826
12	-176.911117	1.407448
13	-177.852298	1.176061
14	-178.793479	0.964874
15	-179.734659	0.780830
16	-180.675840	0.624064
17	-181.617020	0.494231
18	-182.558201	0.391604
19	-183.499382	0.313977
20	-184.440562	0.254172
21	-185.381743	0.198260
22	-186.322923	0.131937
23	-187.264104	0.042226
24	-188.205285	-0.081611
bisection interval found by 1-dim search: [-188.205285,-187.264104]
No.20	 toolpath -164.373532	[r = -187.617966] is calculated within 13.409488s.
-----
initial linear search begins: 
No.	x	f(x)
0	-140.444236	4.632885
1	-141.387710	4.356658
2	-142.331185	4.119861
3	-143.274660	3.915729
4	-144.218134	3.726196
