MLP-2 3D CSV
Version,1.00
File Name,20221020-3D-1.csv
Axis,Y,Z
Pitch,0.002000,0.000900
Range,0.751200,0.013900
Number of data,661,16
Total number of data storage,10320    
Data name,Polygon data(The 1 profiles AZ=-121deg.)
AF gain,Standard
AF sensor,Wide
Objective lens,LM100X
Laser offset,
Direction,Uni-direction +
Rotation center,X:,109.61152,Y:,61.53939,Z:,13.55202,AZ:,0.0000,EL:,0.000,AF:,-14.869084
Measuring time,2022/10/20,19:49:02,-,20:02:36
X,Y,Z
-0.518054,6.811403,6.866964
-0.516767,6.814525,6.866964
-0.516325,6.816457,6.866964
-0.514408,6.819023,6.866964
-0.513615,6.820030,6.866964
-0.512341,6.822229,6.866964
-0.511451,6.824579,6.866964
-0.509852,6.826551,6.866964
-0.508769,6.828159,6.866964
-0.507882,6.830802,6.866964
-0.506708,6.832184,6.866964
-0.505703,6.834074,6.866964
-0.504703,6.835799,6.866964
-0.503781,6.838444,6.866964
-0.502720,6.841033,6.866964
-0.500832,6.842682,6.866964
-0.499862,6.844457,6.866964
-0.498621,6.846653,6.866964
-0.498260,6.849026,6.866964
-0.496842,6.850699,6.866964
-0.496166,6.853440,6.866964
-0.494622,6.854752,6.866964
-0.493084,6.856631,6.866964
-0.492240,6.858343,6.866964
-0.491087,6.860531,6.866964
-0.490082,6.862691,6.866964
-0.488990,6.864148,6.866964
-0.487980,6.866610,6.866964
-0.486381,6.868139,6.866964
-0.485206,6.870558,6.866964
-0.484205,6.872013,6.866964
-0.483004,6.874159,6.866964
-0.481823,6.875952,6.866964
-0.480599,6.878060,6.866964
-0.479756,6.879698,6.866964
-0.478496,6.883153,6.866964
-0.477553,6.883951,6.866964
-0.476265,6.887553,6.866964
-0.475499,6.889144,6.866964
-0.475421,6.891712,6.866964
-0.473979,6.894329,6.866964
-0.472670,6.895872,6.866964
-0.471629,6.896836,6.866964
-0.470489,6.899083,6.866964
-0.469263,6.901573,6.866964
-0.467708,6.903733,6.866964
-0.466936,6.904831,6.866964
-0.465972,6.906905,6.866964
-0.464751,6.908768,6.866964
-0.463625,6.911076,6.866964
-0.462169,6.913438,6.866964
-0.461264,6.915224,6.866964
-0.460819,6.918173,6.866964
-0.459222,6.919820,6.866964
-0.458309,6.921168,6.866964
-0.457095,6.923486,6.866964
-0.455851,6.925753,6.866964
-0.454459,6.928241,6.866964
-0.453285,6.929756,6.866964
-0.452451,6.930636,6.866964
-0.451098,6.932397,6.866964
-0.449794,6.934315,6.866964
-0.448511,6.937193,6.866964
-0.448012,6.939437,6.866964
-0.446480,6.941750,6.866964
-0.445751,6.942862,6.866964
-0.444548,6.945487,6.866964
-0.442894,6.947927,6.866964
-0.442232,6.949400,6.866964
-0.441094,6.951476,6.866964
-0.439948,6.953096,6.866964
-0.438626,6.954870,6.866964
-0.437093,6.957643,6.866964
-0.436573,6.958637,6.866964
-0.435577,6.961006,6.866964
-0.434821,6.964136,6.866964
-0.433234,6.966050,6.866964
-0.432364,6.968201,6.866964
-0.432390,6.971098,6.866964
-0.430703,6.973002,6.866964
-0.429521,6.974138,6.866964
-0.428233,6.976177,6.866964
-0.426767,6.977617,6.866964
-0.425733,6.979787,6.866964
-0.423845,6.981475,6.866964
-0.422181,6.982550,6.866964
-0.420714,6.983853,6.866964
-0.421258,6.988856,6.866964
-0.421254,6.991432,6.866964
-0.421357,6.996825,6.866964
-0.420410,6.997077,6.866964
-0.419452,6.999585,6.866964
-0.417046,7.000864,6.866964
-0.416336,7.002430,6.866964
-0.415669,7.006382,6.866964
-0.414057,7.007504,6.866964
-0.415027,7.012707,6.866964
-0.413794,7.014415,6.866964
-0.413386,7.016671,6.866964
-0.413112,7.022216,6.866964
-0.411935,7.021875,6.866964
-0.408158,7.021337,6.866964
-0.407218,7.023260,6.866964
-0.405706,7.024372,6.866964
-0.403393,7.024782,6.866964
-0.401814,7.025688,6.866964
-0.400044,7.026260,6.866964
-0.398288,7.027684,6.866964
-0.397063,7.029134,6.866964
-0.395447,7.030886,6.866964
-0.394562,7.031760,6.866964
-0.393439,7.034208,6.866964
-0.392332,7.036027,6.866964
-0.390740,7.039071,6.866964
-0.389654,7.040230,6.866964
-0.388832,7.043251,6.866964
-0.387392,7.044174,6.866964
-0.385694,7.046292,6.866964
-0.385471,7.048257,6.866964
-0.384055,7.050145,6.866964
-0.383315,7.051682,6.866964
-0.382833,7.054879,6.866964
-0.381637,7.057570,6.866964
-0.380199,7.059364,6.866964
-0.379119,7.061188,6.866964
-0.377419,7.062416,6.866964
-0.376228,7.064694,6.866964
